"I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18"
"Dairy","Candy","Eggs","Pizza","","","","","","","","","","","","","",""
"Pure Juice Beverages","","","","","","","","","","","","","","","","",""
"Cleaning Supplies","Bread","Meat","Fruit","","","","","","","","","","","","","",""
"Decongestants","Dairy","Vegetables","","","","","","","","","","","","","","",""
"Meat","Vegetables","Jams and Jellies","Snack Foods","","","","","","","","","","","","","",""
"Snack Foods","Kitchen Products","","","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","","","","","","","","","","","","","","","",""
"Canned Soup","Meat","Breakfast Foods","Decongestants","Frozen Entrees","Vegetables","Snack Foods","Dairy","Baking Goods","","","","","","","","",""
"Snack Foods","Vegetables","Breakfast Foods","Decongestants","Hygiene","","","","","","","","","","","","",""
"Fruit","Canned Soup","Dairy","","","","","","","","","","","","","","",""
"Candy","Vegetables","Beer and Wine","Meat","Bread","Snack Foods","Canned Soup","","","","","","","","","","",""
"Vegetables","Kitchen Products","Breakfast Foods","Jams and Jellies","Dairy","","","","","","","","","","","","",""
"Snack Foods","Meat","","","","","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Vegetables","Bathroom Products","Starchy Foods","Hardware","","","","","","","","","","","","","",""
"Snack Foods","Dairy","","","","","","","","","","","","","","","",""
"Meat","Snack Foods","Electrical","Canned Soup","Breakfast Foods","","","","","","","","","","","","",""
"Hardware","","","","","","","","","","","","","","","","",""
"Bread","","","","","","","","","","","","","","","","",""
"Cleaning Supplies","Vegetables","Specialty","Snack Foods","","","","","","","","","","","","","",""
"Jams and Jellies","Dairy","","","","","","","","","","","","","","","",""
"Snack Foods","Canned Tuna","Vegetables","","","","","","","","","","","","","","",""
"Snack Foods","Canned Soup","Paper Products","Magazines","Fruit","Vegetables","","","","","","","","","","","",""
"Dairy","Specialty","","","","","","","","","","","","","","","",""
"Cold Remedies","Carbonated Beverages","Dairy","","","","","","","","","","","","","","",""
"Vegetables","Dairy","Baking Goods","","","","","","","","","","","","","","",""
"Vegetables","Breakfast Foods","Snack Foods","","","","","","","","","","","","","","",""
"Magazines","","","","","","","","","","","","","","","","",""
"Fruit","Magazines","Beer and Wine","","","","","","","","","","","","","","",""
"Frozen Desserts","Candy","Fruit","Starchy Foods","","","","","","","","","","","","","",""
"Snack Foods","Baking Goods","Frozen Desserts","Hardware","Canned Tuna","Bread","","","","","","","","","","","",""
"Carbonated Beverages","Breakfast Foods","Vegetables","Meat","Hygiene","Canned Anchovies","","","","","","","","","","","",""
"Vegetables","Beer and Wine","Snack Foods","Meat","Magazines","Jams and Jellies","Cold Remedies","Dairy","Electrical","Kitchen Products","","","","","","","",""
"Fruit","Snack Foods","","","","","","","","","","","","","","","",""
"Vegetables","Breakfast Foods","Paper Products","Hot Beverages","","","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Candy","Cleaning Supplies","Bread","","","","","","","","","","","","","","",""
"Canned Soup","Hot Beverages","Cold Remedies","Fruit","","","","","","","","","","","","","",""
"Breakfast Foods","Snack Foods","Vegetables","","","","","","","","","","","","","","",""
"Vegetables","Frozen Desserts","Snack Foods","Baking Goods","","","","","","","","","","","","","",""
"Meat","Vegetables","Canned Clams","Dairy","Jams and Jellies","Paper Products","","","","","","","","","","","",""
"Fruit","Starchy Foods","Vegetables","Electrical","Baking Goods","Jams and Jellies","Decongestants","Breakfast Foods","Meat","","","","","","","","",""
"Breakfast Foods","Baking Goods","Meat","Decongestants","Eggs","Vegetables","Jams and Jellies","Bread","Bathroom Products","Fruit","Plastic Products","","","","","","",""
"Vegetables","Pure Juice Beverages","Specialty","Hardware","Paper Products","","","","","","","","","","","","",""
"Bread","","","","","","","","","","","","","","","","",""
"Snack Foods","Frozen Entrees","","","","","","","","","","","","","","","",""
"Snack Foods","Eggs","Candy","Dairy","Starchy Foods","Carbonated Beverages","","","","","","","","","","","",""
"Breakfast Foods","Cleaning Supplies","Meat","Baking Goods","Dairy","Hygiene","Starchy Foods","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Pure Juice Beverages","Electrical","Snack Foods","","","","","","","","","","","","","","",""
"Snack Foods","Hardware","","","","","","","","","","","","","","","",""
"Canned Soup","Jams and Jellies","","","","","","","","","","","","","","","",""
"Bathroom Products","Jams and Jellies","","","","","","","","","","","","","","","",""
"Cleaning Supplies","Plastic Products","","","","","","","","","","","","","","","",""
"Specialty","Starchy Foods","","","","","","","","","","","","","","","",""
"Snack Foods","Canned Oysters","Canned Soup","","","","","","","","","","","","","","",""
"Canned Soup","","","","","","","","","","","","","","","","",""
"Snack Foods","Canned Soup","Candles","Vegetables","","","","","","","","","","","","","",""
"Bread","Bathroom Products","","","","","","","","","","","","","","","",""
"Plastic Products","Pure Juice Beverages","Dairy","","","","","","","","","","","","","","",""
"Meat","Pizza","Candy","","","","","","","","","","","","","","",""
"Eggs","Magazines","Jams and Jellies","Carbonated Beverages","Vegetables","Paper Products","Specialty","Frozen Desserts","","","","","","","","","",""
"Dairy","Snack Foods","Hygiene","Canned Soup","Fruit","Meat","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Magazines","Kitchen Products","Pizza","","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","","","","","","","","","","","","","","","",""
"Frozen Entrees","Snack Foods","Fruit","Dairy","Jams and Jellies","Bread","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Meat","Pain Relievers","Breakfast Foods","Baking Goods","Dairy","","","","","","","","","","","","",""
"Pizza","Paper Products","Vegetables","Magazines","Candy","","","","","","","","","","","","",""
"Paper Products","Eggs","Electrical","Dairy","Vegetables","Canned Soup","Bathroom Products","Canned Clams","","","","","","","","","",""
"Dairy","Snack Foods","Specialty","Meat","Eggs","","","","","","","","","","","","",""
"Electrical","Snack Foods","Kitchen Products","Fruit","Meat","Breakfast Foods","","","","","","","","","","","",""
"Vegetables","Canned Soup","Fruit","Electrical","Meat","Paper Products","Bathroom Products","Hygiene","Magazines","","","","","","","","",""
"Side Dishes","Dairy","Vegetables","Bathroom Products","Snack Foods","Breakfast Foods","","","","","","","","","","","",""
"Vegetables","Eggs","","","","","","","","","","","","","","","",""
"Electrical","Pain Relievers","","","","","","","","","","","","","","","",""
"Vegetables","Electrical","Snack Foods","Fruit","","","","","","","","","","","","","",""
"Seafood","Pizza","Cleaning Supplies","Frozen Desserts","Pure Juice Beverages","","","","","","","","","","","","",""
"Meat","Breakfast Foods","Frozen Desserts","Pizza","Candy","","","","","","","","","","","","",""
"Kitchen Products","Frozen Entrees","Dairy","Fruit","Magazines","Meat","","","","","","","","","","","",""
"Snack Foods","Meat","","","","","","","","","","","","","","","",""
"Hardware","Snack Foods","Dairy","","","","","","","","","","","","","","",""
"Canned Soup","Canned Oysters","Hot Beverages","","","","","","","","","","","","","","",""
"Pizza","Vegetables","Electrical","","","","","","","","","","","","","","",""
"Breakfast Foods","Vegetables","Frozen Entrees","Paper Products","","","","","","","","","","","","","",""
"Canned Soup","Vegetables","Snack Foods","Frozen Desserts","Dairy","Baking Goods","","","","","","","","","","","",""
"Starchy Foods","Dairy","Jams and Jellies","Eggs","Magazines","Pure Juice Beverages","Breakfast Foods","Canned Anchovies","Vegetables","Candy","","","","","","","",""
"Vegetables","Snack Foods","Starchy Foods","Dairy","Fruit","Canned Soup","Baking Goods","Pizza","","","","","","","","","",""
"Meat","Pure Juice Beverages","Vegetables","Snack Foods","","","","","","","","","","","","","",""
"Hot Beverages","Bathroom Products","Pain Relievers","Drinks","Candy","Breakfast Foods","","","","","","","","","","","",""
"Vegetables","Fruit","Hardware","Pizza","Paper Products","Jams and Jellies","Meat","Plastic Products","Cold Remedies","","","","","","","","",""
"Jams and Jellies","Snack Foods","Dairy","","","","","","","","","","","","","","",""
"Beer and Wine","Snack Foods","Meat","Pure Juice Beverages","Jams and Jellies","Eggs","Dairy","","","","","","","","","","",""
"Hot Beverages","","","","","","","","","","","","","","","","",""
"Candy","Side Dishes","Snack Foods","","","","","","","","","","","","","","",""
"Canned Soup","Jams and Jellies","Vegetables","Snack Foods","Hot Beverages","","","","","","","","","","","","",""
"Canned Soup","Hygiene","Candy","Electrical","Frozen Desserts","","","","","","","","","","","","",""
"Specialty","Snack Foods","","","","","","","","","","","","","","","",""
"Dairy","Bread","Cleaning Supplies","Vegetables","Jams and Jellies","","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Cleaning Supplies","Electrical","","","","","","","","","","","","","","","",""
"Vegetables","Packaged Vegetables","Jams and Jellies","Meat","","","","","","","","","","","","","",""
"Breakfast Foods","Meat","Snack Foods","Pizza","Baking Goods","","","","","","","","","","","","",""
"Pure Juice Beverages","Hygiene","Vegetables","Side Dishes","Plastic Products","Specialty","Packaged Vegetables","Bathroom Products","Candy","","","","","","","","",""
"Snack Foods","Eggs","Fruit","Baking Goods","","","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Canned Sardines","Vegetables","Bread","","","","","","","","","","","","","","",""
"Vegetables","Pure Juice Beverages","Fruit","Breakfast Foods","Bathroom Products","Snack Foods","Plastic Products","Kitchen Products","Specialty","Bread","Canned Soup","","","","","","",""
"Bread","Dairy","Meat","Snack Foods","Magazines","Hardware","Frozen Entrees","Vegetables","","","","","","","","","",""
"Canned Clams","Pain Relievers","Vegetables","","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Breakfast Foods","Dairy","Paper Products","Bread","Baking Goods","Canned Tuna","Carbonated Beverages","","","","","","","","",""
"Beer and Wine","Starchy Foods","","","","","","","","","","","","","","","",""
"Kitchen Products","Bread","","","","","","","","","","","","","","","",""
"Side Dishes","Jams and Jellies","Bathroom Products","Snack Foods","Candy","Breakfast Foods","Meat","Paper Products","","","","","","","","","",""
"Snack Foods","Jams and Jellies","Canned Soup","Electrical","Fruit","Pizza","Plastic Products","","","","","","","","","","",""
"Bread","Dairy","Vegetables","Candles","Snack Foods","Candy","","","","","","","","","","","",""
"Eggs","Snack Foods","Vegetables","Bread","Cleaning Supplies","Meat","Miscellaneous","","","","","","","","","","",""
"Dairy","Breakfast Foods","Vegetables","","","","","","","","","","","","","","",""
"Vegetables","Electrical","Bathroom Products","Snack Foods","Pizza","Miscellaneous","Meat","Starchy Foods","Hot Beverages","","","","","","","","",""
"Paper Products","Baking Goods","Kitchen Products","Starchy Foods","Magazines","Electrical","Drinks","Fruit","","","","","","","","","",""
"Eggs","Vegetables","Dairy","Snack Foods","Baking Goods","","","","","","","","","","","","",""
"Frozen Desserts","Vegetables","Canned Soup","Jams and Jellies","","","","","","","","","","","","","",""
"Carbonated Beverages","Jams and Jellies","Meat","Beer and Wine","Vegetables","","","","","","","","","","","","",""
"Meat","Hot Beverages","Dairy","Candy","Electrical","Beer and Wine","Vegetables","","","","","","","","","","",""
"Jams and Jellies","Fruit","Vegetables","Eggs","Candles","Plastic Products","","","","","","","","","","","",""
"Breakfast Foods","Snack Foods","Hygiene","Magazines","","","","","","","","","","","","","",""
"Bathroom Products","Breakfast Foods","Snack Foods","Frozen Entrees","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Dairy","","","","","","","","","","","","","","",""
"Specialty","Paper Products","Snack Foods","Bread","Canned Anchovies","","","","","","","","","","","","",""
"Canned Shrimp","Breakfast Foods","Bread","Frozen Desserts","","","","","","","","","","","","","",""
"Miscellaneous","Dairy","Electrical","Vegetables","Pure Juice Beverages","Snack Foods","","","","","","","","","","","",""
"Canned Tuna","Side Dishes","Beer and Wine","Jams and Jellies","Drinks","Dairy","","","","","","","","","","","",""
"Snack Foods","Specialty","Vegetables","","","","","","","","","","","","","","",""
"Jams and Jellies","Fruit","","","","","","","","","","","","","","","",""
"Paper Products","Vegetables","Snack Foods","Candy","","","","","","","","","","","","","",""
"Fruit","Carbonated Beverages","Drinks","Frozen Entrees","Canned Soup","","","","","","","","","","","","",""
"Snack Foods","Jams and Jellies","Hot Beverages","Paper Products","Starchy Foods","Canned Anchovies","Vegetables","","","","","","","","","","",""
"Pure Juice Beverages","Vegetables","Hardware","Frozen Entrees","Canned Soup","Breakfast Foods","Starchy Foods","Bathroom Products","Pizza","Hygiene","","","","","","","",""
"Hot Beverages","Eggs","Meat","Jams and Jellies","Fruit","Electrical","Specialty","","","","","","","","","","",""
"Bathroom Products","Beer and Wine","","","","","","","","","","","","","","","",""
"Snack Foods","Specialty","Dairy","Canned Shrimp","Jams and Jellies","Vegetables","Magazines","Plastic Products","","","","","","","","","",""
"Meat","Kitchen Products","Breakfast Foods","Jams and Jellies","Hardware","Vegetables","","","","","","","","","","","",""
"Snack Foods","Bread","Hardware","Jams and Jellies","","","","","","","","","","","","","",""
"Breakfast Foods","Snack Foods","Fruit","Bread","Candy","Hygiene","","","","","","","","","","","",""
"Candy","Jams and Jellies","Electrical","Cleaning Supplies","Pure Juice Beverages","Vegetables","Side Dishes","Paper Products","Hygiene","Meat","","","","","","","",""
"Eggs","Pizza","Vegetables","Paper Products","Snack Foods","","","","","","","","","","","","",""
"Eggs","Breakfast Foods","Candy","Dairy","Miscellaneous","Bread","Meat","Hardware","Carbonated Beverages","Pure Juice Beverages","Vegetables","","","","","","",""
"Frozen Desserts","Snack Foods","Breakfast Foods","Fruit","Kitchen Products","Vegetables","Electrical","Baking Goods","Dairy","Cold Remedies","Pain Relievers","","","","","","",""
"Jams and Jellies","Canned Anchovies","","","","","","","","","","","","","","","",""
"Meat","Snack Foods","Fruit","Drinks","","","","","","","","","","","","","",""
"Fruit","Vegetables","","","","","","","","","","","","","","","",""
"Canned Soup","Bathroom Products","Candy","Beer and Wine","Drinks","Baking Goods","Hygiene","","","","","","","","","","",""
"Frozen Desserts","Drinks","Snack Foods","Vegetables","Kitchen Products","","","","","","","","","","","","",""
"Vegetables","Plastic Products","","","","","","","","","","","","","","","",""
"Eggs","Fruit","","","","","","","","","","","","","","","",""
"Beer and Wine","Dairy","Vegetables","","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Dairy","Meat","","","","","","","","","","","","","",""
"Meat","Vegetables","Pizza","Electrical","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Dairy","Hot Beverages","","","","","","","","","","","","","",""
"Canned Soup","Snack Foods","Candy","Dairy","Vegetables","Baking Goods","Hot Beverages","","","","","","","","","","",""
"Meat","Fruit","Snack Foods","","","","","","","","","","","","","","",""
"Snack Foods","Eggs","","","","","","","","","","","","","","","",""
"Hot Beverages","Hygiene","Bathroom Products","Jams and Jellies","Candy","Pure Juice Beverages","","","","","","","","","","","",""
"Magazines","Snack Foods","","","","","","","","","","","","","","","",""
"Breakfast Foods","Dairy","Packaged Vegetables","Hardware","Specialty","","","","","","","","","","","","",""
"Jams and Jellies","Snack Foods","Hardware","","","","","","","","","","","","","","",""
"Beer and Wine","Snack Foods","Meat","Carbonated Beverages","Jams and Jellies","Fruit","","","","","","","","","","","",""
"Baking Goods","","","","","","","","","","","","","","","","",""
"Snack Foods","Meat","","","","","","","","","","","","","","","",""
"Canned Soup","Jams and Jellies","Meat","Snack Foods","Vegetables","","","","","","","","","","","","",""
"Canned Soup","Meat","Snack Foods","Candy","Plastic Products","Eggs","","","","","","","","","","","",""
"Fruit","Snack Foods","","","","","","","","","","","","","","","",""
"Dairy","Bread","Paper Products","Breakfast Foods","Baking Goods","","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Electrical","Plastic Products","","","","","","","","","","","","","","","",""
"Vegetables","Baking Goods","Meat","","","","","","","","","","","","","","",""
"Eggs","Vegetables","Pure Juice Beverages","Side Dishes","","","","","","","","","","","","","",""
"Hot Beverages","Snack Foods","Jams and Jellies","Canned Tuna","Breakfast Foods","Vegetables","","","","","","","","","","","",""
"Bread","Magazines","Specialty","Meat","Carbonated Beverages","Vegetables","Bathroom Products","Paper Products","","","","","","","","","",""
"Dairy","Jams and Jellies","Snack Foods","Electrical","Meat","Vegetables","Paper Products","Fruit","Kitchen Products","Beer and Wine","","","","","","","",""
"Electrical","Magazines","Dairy","Vegetables","Frozen Desserts","","","","","","","","","","","","",""
"Bread","Hot Beverages","Dairy","Pain Relievers","Snack Foods","Vegetables","","","","","","","","","","","",""
"Breakfast Foods","","","","","","","","","","","","","","","","",""
"Fruit","Snack Foods","Jams and Jellies","Starchy Foods","","","","","","","","","","","","","",""
"Canned Shrimp","Pizza","Specialty","Fruit","Candy","Baking Goods","Magazines","Dairy","","","","","","","","","",""
"Bread","Meat","Jams and Jellies","","","","","","","","","","","","","","",""
"Dairy","Snack Foods","Bread","Meat","Fruit","Specialty","Hygiene","Kitchen Products","Bathroom Products","","","","","","","","",""
"Vegetables","Canned Soup","Snack Foods","Dairy","Kitchen Products","Beer and Wine","","","","","","","","","","","",""
"Starchy Foods","Frozen Desserts","Beer and Wine","Vegetables","Jams and Jellies","Snack Foods","","","","","","","","","","","",""
"Frozen Entrees","Vegetables","Baking Goods","Canned Tuna","Meat","Dairy","","","","","","","","","","","",""
"Jams and Jellies","Electrical","Cleaning Supplies","Canned Soup","Bread","Canned Shrimp","","","","","","","","","","","",""
"Hot Beverages","Magazines","Pain Relievers","Dairy","Snack Foods","","","","","","","","","","","","",""
"Electrical","Vegetables","Cleaning Supplies","Dairy","Jams and Jellies","","","","","","","","","","","","",""
"Baking Goods","Dairy","Vegetables","Snack Foods","Meat","","","","","","","","","","","","",""
"Frozen Desserts","Canned Oysters","Hardware","","","","","","","","","","","","","","",""
"Eggs","Canned Soup","Vegetables","Pain Relievers","Dairy","Specialty","","","","","","","","","","","",""
"Dairy","Beer and Wine","Kitchen Products","Bread","","","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Canned Tuna","Plastic Products","Cleaning Supplies","Snack Foods","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Fruit","Baking Goods","Canned Soup","","","","","","","","","","","","",""
"Meat","Jams and Jellies","Bathroom Products","Drinks","","","","","","","","","","","","","",""
"Breakfast Foods","Snack Foods","Jams and Jellies","Cold Remedies","","","","","","","","","","","","","",""
"Frozen Desserts","Beer and Wine","Meat","Kitchen Products","Seafood","Canned Clams","Fruit","Dairy","Electrical","Baking Goods","Bathroom Products","Canned Soup","Bread","","","","",""
"Snack Foods","Fruit","Electrical","","","","","","","","","","","","","","",""
"Meat","Snack Foods","Breakfast Foods","Vegetables","Kitchen Products","Bread","","","","","","","","","","","",""
"Canned Soup","Decongestants","Canned Shrimp","Drinks","Vegetables","","","","","","","","","","","","",""
"Vegetables","Specialty","Jams and Jellies","Eggs","","","","","","","","","","","","","",""
"Snack Foods","Electrical","Hygiene","","","","","","","","","","","","","","",""
"Jams and Jellies","Candy","","","","","","","","","","","","","","","",""
"Dairy","Frozen Desserts","Beer and Wine","","","","","","","","","","","","","","",""
"Snack Foods","Specialty","Electrical","Plastic Products","Cleaning Supplies","Jams and Jellies","Vegetables","","","","","","","","","","",""
"Cleaning Supplies","Meat","Specialty","Bathroom Products","","","","","","","","","","","","","",""
"Cleaning Supplies","Frozen Entrees","Canned Soup","Canned Sardines","Fruit","Snack Foods","Magazines","","","","","","","","","","",""
"Meat","Canned Soup","Snack Foods","Side Dishes","Jams and Jellies","Dairy","Pizza","Hot Beverages","Bathroom Products","Cold Remedies","","","","","","","",""
"Snack Foods","Kitchen Products","","","","","","","","","","","","","","","",""
"Vegetables","Starchy Foods","Drinks","Snack Foods","Meat","Dairy","","","","","","","","","","","",""
"Fruit","Dairy","Jams and Jellies","Frozen Entrees","Meat","Snack Foods","","","","","","","","","","","",""
"Meat","Side Dishes","Candy","Fruit","Beer and Wine","Vegetables","Snack Foods","Hot Beverages","Frozen Desserts","","","","","","","","",""
"Frozen Desserts","Dairy","Baking Goods","","","","","","","","","","","","","","",""
"Meat","Vegetables","","","","","","","","","","","","","","","",""
"Dairy","Beer and Wine","Vegetables","Carbonated Beverages","Snack Foods","Fruit","Hot Beverages","","","","","","","","","","",""
"Vegetables","Meat","Cold Remedies","Snack Foods","Canned Soup","Pure Juice Beverages","Candy","","","","","","","","","","",""
"Hygiene","Pizza","Starchy Foods","Canned Soup","Baking Goods","Hardware","Fruit","Vegetables","Snack Foods","Electrical","","","","","","","",""
"Cleaning Supplies","Magazines","Fruit","Vegetables","Hardware","Candy","Pizza","","","","","","","","","","",""
"Snack Foods","Fruit","","","","","","","","","","","","","","","",""
"Frozen Desserts","Baking Goods","Snack Foods","Bathroom Products","Canned Soup","Fruit","","","","","","","","","","","",""
"Snack Foods","Baking Goods","Cold Remedies","Plastic Products","Breakfast Foods","Beer and Wine","Canned Soup","","","","","","","","","","",""
"Side Dishes","Paper Products","Snack Foods","Fruit","Electrical","Bread","Meat","Beer and Wine","Canned Soup","","","","","","","","",""
"Snack Foods","Vegetables","Candy","Carbonated Beverages","Plastic Products","Meat","Dairy","Fruit","","","","","","","","","",""
"Frozen Desserts","Jams and Jellies","Snack Foods","Vegetables","Specialty","Dairy","","","","","","","","","","","",""
"Hot Beverages","Pizza","Kitchen Products","Dairy","Candy","Side Dishes","Snack Foods","Vegetables","","","","","","","","","",""
"Canned Anchovies","Fruit","Jams and Jellies","Breakfast Foods","Bathroom Products","Snack Foods","Meat","","","","","","","","","","",""
"Paper Products","Dairy","Decongestants","","","","","","","","","","","","","","",""
"Vegetables","Breakfast Foods","","","","","","","","","","","","","","","",""
"Dairy","Bathroom Products","Canned Soup","","","","","","","","","","","","","","",""
"Beer and Wine","Bread","Dairy","Hygiene","Snack Foods","Vegetables","","","","","","","","","","","",""
"Carbonated Beverages","","","","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Baking Goods","Candy","","","","","","","","","","","","","",""
"Beer and Wine","Meat","Dairy","Baking Goods","","","","","","","","","","","","","",""
"Canned Soup","Snack Foods","Beer and Wine","Dairy","Vegetables","Specialty","","","","","","","","","","","",""
"Vegetables","Pure Juice Beverages","Frozen Entrees","Snack Foods","","","","","","","","","","","","","",""
"Breakfast Foods","Vegetables","Canned Soup","Bread","Dairy","Miscellaneous","","","","","","","","","","","",""
"Canned Soup","Snack Foods","Vegetables","Frozen Desserts","","","","","","","","","","","","","",""
"Breakfast Foods","Canned Soup","Frozen Desserts","Side Dishes","","","","","","","","","","","","","",""
"Canned Sardines","Beer and Wine","Pizza","Breakfast Foods","Snack Foods","Baking Goods","Bathroom Products","","","","","","","","","","",""
"Fruit","Hot Beverages","Frozen Desserts","Plastic Products","Vegetables","","","","","","","","","","","","",""
"Dairy","Decongestants","","","","","","","","","","","","","","","",""
"Baking Goods","Jams and Jellies","Frozen Desserts","Pure Juice Beverages","Snack Foods","Vegetables","","","","","","","","","","","",""
"Dairy","Baking Goods","Jams and Jellies","Starchy Foods","","","","","","","","","","","","","",""
"Starchy Foods","Meat","Beer and Wine","Canned Oysters","Drinks","Baking Goods","Vegetables","Dairy","Candles","","","","","","","","",""
"Cold Remedies","Dairy","Vegetables","Snack Foods","","","","","","","","","","","","","",""
"Candy","Beer and Wine","","","","","","","","","","","","","","","",""
"Breakfast Foods","Meat","Packaged Vegetables","","","","","","","","","","","","","","",""
"Kitchen Products","Bathroom Products","Canned Soup","Baking Goods","Dairy","","","","","","","","","","","","",""
"Bathroom Products","Hardware","Hygiene","Beer and Wine","Pure Juice Beverages","Vegetables","Paper Products","","","","","","","","","","",""
"Bread","Vegetables","Meat","Dairy","Fruit","","","","","","","","","","","","",""
"Paper Products","Beer and Wine","Baking Goods","","","","","","","","","","","","","","",""
"Vegetables","Canned Soup","Fruit","Jams and Jellies","Specialty","","","","","","","","","","","","",""
"Pure Juice Beverages","Fruit","Canned Soup","Vegetables","","","","","","","","","","","","","",""
"Dairy","Frozen Desserts","Electrical","Pain Relievers","Baking Goods","Snack Foods","Bathroom Products","Candy","Starchy Foods","Cold Remedies","","","","","","","",""
"Pain Relievers","Snack Foods","Breakfast Foods","Paper Products","Candles","Canned Clams","Hot Beverages","Dairy","","","","","","","","","",""
"Beer and Wine","Vegetables","Bread","Eggs","Starchy Foods","Cold Remedies","","","","","","","","","","","",""
"Electrical","Beer and Wine","Specialty","Vegetables","Magazines","Jams and Jellies","","","","","","","","","","","",""
"Baking Goods","Cleaning Supplies","Pain Relievers","Hygiene","Electrical","Vegetables","","","","","","","","","","","",""
"Kitchen Products","","","","","","","","","","","","","","","","",""
"Frozen Entrees","Candy","","","","","","","","","","","","","","","",""
"Snack Foods","Pure Juice Beverages","Specialty","Bread","","","","","","","","","","","","","",""
"Kitchen Products","Dairy","","","","","","","","","","","","","","","",""
"Breakfast Foods","Decongestants","Snack Foods","Carbonated Beverages","Fruit","","","","","","","","","","","","",""
"Meat","Seafood","Baking Goods","Dairy","","","","","","","","","","","","","",""
"Snack Foods","Fruit","Canned Tuna","Frozen Desserts","Specialty","Vegetables","Decongestants","","","","","","","","","","",""
"Starchy Foods","Paper Products","Vegetables","","","","","","","","","","","","","","",""
"Snack Foods","Beer and Wine","Jams and Jellies","Bread","Dairy","Meat","","","","","","","","","","","",""
"Eggs","Dairy","Meat","Snack Foods","Frozen Desserts","Paper Products","Bread","","","","","","","","","","",""
"Dairy","","","","","","","","","","","","","","","","",""
"Paper Products","Vegetables","Canned Tuna","Kitchen Products","Jams and Jellies","Dairy","","","","","","","","","","","",""
"Canned Sardines","Electrical","Snack Foods","Hot Beverages","Vegetables","Canned Soup","","","","","","","","","","","",""
"Pain Relievers","Bathroom Products","Dairy","Vegetables","Fruit","Electrical","","","","","","","","","","","",""
"Seafood","Vegetables","Jams and Jellies","Snack Foods","Starchy Foods","Breakfast Foods","","","","","","","","","","","",""
"Canned Soup","Bathroom Products","Electrical","Snack Foods","","","","","","","","","","","","","",""
"Baking Goods","Canned Anchovies","","","","","","","","","","","","","","","",""
"Breakfast Foods","Snack Foods","Frozen Entrees","Fruit","Vegetables","Eggs","","","","","","","","","","","",""
"Bathroom Products","Breakfast Foods","Electrical","","","","","","","","","","","","","","",""
"Candles","Fruit","Vegetables","Paper Products","Jams and Jellies","Candy","","","","","","","","","","","",""
"Vegetables","Pizza","","","","","","","","","","","","","","","",""
"Vegetables","Kitchen Products","Jams and Jellies","Side Dishes","Starchy Foods","","","","","","","","","","","","",""
"Vegetables","Dairy","Electrical","Fruit","Canned Soup","Starchy Foods","Snack Foods","","","","","","","","","","",""
"Breakfast Foods","Dairy","","","","","","","","","","","","","","","",""
"Vegetables","Dairy","Pure Juice Beverages","Kitchen Products","Canned Soup","Pain Relievers","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Bathroom Products","Bread","","","","","","","","","","","","","","","",""
"Snack Foods","Canned Tuna","Baking Goods","","","","","","","","","","","","","","",""
"Breakfast Foods","Jams and Jellies","Dairy","Electrical","Carbonated Beverages","Bathroom Products","Baking Goods","","","","","","","","","","",""
"Pain Relievers","Paper Products","Beer and Wine","Canned Soup","Snack Foods","Starchy Foods","Specialty","Vegetables","Kitchen Products","Fruit","Meat","Breakfast Foods","","","","","",""
"Canned Sardines","Vegetables","Eggs","Plastic Products","Snack Foods","Canned Clams","","","","","","","","","","","",""
"Frozen Desserts","Snack Foods","","","","","","","","","","","","","","","",""
"Bread","Vegetables","Canned Soup","Fruit","Snack Foods","","","","","","","","","","","","",""
"Side Dishes","Vegetables","Canned Anchovies","","","","","","","","","","","","","","",""
"Snack Foods","Fruit","Paper Products","Vegetables","","","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Drinks","Vegetables","","","","","","","","","","","","","","","",""
"Side Dishes","Cold Remedies","Candy","Vegetables","Breakfast Foods","Fruit","Hardware","","","","","","","","","","",""
