@relation R_data_frame

@attribute state_province {BC,CA,DF,Guerrero,Jalisco,Mexico,OR,Sinaloa,Veracruz,WA,Yucatan,Zacatecas}
@attribute yearly_income {'$10K - $30K','$110K - $130K','$130K - $150K','$150K +','$30K - $50K','$50K - $70K','$70K - $90K','$90K - $110K'}
@attribute gender {F,M}
@attribute total_children {0,1,2,3,4,5}
@attribute num_children_at_home {0,1,2,3,4,5}
@attribute education {'Bachelors Degree','Graduate Degree','High School Degree','Partial College','Partial High School'}
@attribute occupation {Clerical,Management,Manual,Professional,'Skilled Manual'}
@attribute houseowner {N,Y}
@attribute num_cars_owned {0,1,2,3,4}

@data
CA,'$50K - $70K',M,4,0,'Bachelors Degree',Management,Y,1
OR,'$70K - $90K',F,1,0,'Graduate Degree',Professional,Y,2
WA,'$70K - $90K',M,2,0,'Bachelors Degree',Professional,N,2
DF,'$30K - $50K',F,4,0,'High School Degree',Manual,N,1
BC,'$10K - $30K',M,0,0,'High School Degree',Manual,N,0
WA,'$30K - $50K',M,2,0,'High School Degree',Manual,N,3
WA,'$150K +',F,4,1,'High School Degree',Professional,Y,3
WA,'$30K - $50K',F,1,1,'High School Degree',Manual,Y,2
WA,'$50K - $70K',M,0,0,'Bachelors Degree',Professional,Y,3
OR,'$30K - $50K',M,1,1,'High School Degree','Skilled Manual',N,2
CA,'$70K - $90K',F,0,0,'Bachelors Degree',Professional,Y,3
CA,'$110K - $130K',M,5,0,'Graduate Degree',Professional,Y,3
WA,'$10K - $30K',M,2,2,'Partial High School','Skilled Manual',Y,0
OR,'$70K - $90K',M,5,0,'Bachelors Degree',Management,N,2
OR,'$10K - $30K',M,0,0,'Partial High School',Manual,N,0
OR,'$30K - $50K',M,0,0,'High School Degree',Manual,N,2
OR,'$30K - $50K',F,4,4,'High School Degree','Skilled Manual',Y,2
CA,'$30K - $50K',F,2,0,'High School Degree','Skilled Manual',N,1
OR,'$30K - $50K',M,3,0,'Partial College',Professional,Y,3
CA,'$30K - $50K',F,4,4,'Partial College',Professional,Y,3
BC,'$10K - $30K',F,2,0,'Partial High School',Manual,Y,1
CA,'$50K - $70K',F,5,0,'Bachelors Degree',Professional,N,3
Yucatan,'$50K - $70K',M,2,1,'Bachelors Degree',Professional,N,3
BC,'$10K - $30K',F,2,0,'Partial High School','Skilled Manual',N,0
CA,'$30K - $50K',M,1,1,'Partial College',Professional,Y,3
BC,'$50K - $70K',F,1,0,'Bachelors Degree',Management,Y,3
WA,'$30K - $50K',M,3,1,'High School Degree','Skilled Manual',Y,2
CA,'$10K - $30K',M,1,0,'Partial High School','Skilled Manual',N,1
Jalisco,'$30K - $50K',F,0,0,'High School Degree',Manual,Y,3
WA,'$50K - $70K',M,3,3,'Bachelors Degree',Management,Y,2
Veracruz,'$70K - $90K',F,3,0,'Partial College',Management,Y,3
CA,'$110K - $130K',F,1,0,'High School Degree',Professional,Y,3
WA,'$30K - $50K',F,2,0,'High School Degree',Manual,N,3
CA,'$70K - $90K',F,1,0,'Graduate Degree',Professional,Y,2
OR,'$10K - $30K',F,4,0,'Partial High School',Manual,N,1
CA,'$10K - $30K',M,1,1,'Partial High School',Manual,N,2
BC,'$30K - $50K',M,2,2,'Partial College','Skilled Manual',Y,4
CA,'$10K - $30K',F,2,0,'Bachelors Degree',Professional,N,1
Yucatan,'$30K - $50K',F,5,0,'Partial High School',Manual,Y,3
CA,'$30K - $50K',M,3,0,'High School Degree',Manual,N,4
WA,'$30K - $50K',M,3,0,'Partial High School',Manual,Y,2
WA,'$70K - $90K',F,2,1,'Partial College',Management,Y,3
OR,'$130K - $150K',M,4,4,'Partial High School',Professional,Y,3
BC,'$30K - $50K',F,4,1,'High School Degree',Manual,Y,4
BC,'$10K - $30K',M,1,0,'Partial High School',Manual,Y,0
OR,'$50K - $70K',M,1,0,'Bachelors Degree',Professional,N,2
BC,'$30K - $50K',M,4,3,'Partial College',Clerical,Y,2
WA,'$30K - $50K',M,1,1,'High School Degree',Manual,Y,3
OR,'$50K - $70K',F,4,4,'High School Degree',Manual,Y,3
OR,'$30K - $50K',M,0,0,'High School Degree',Manual,Y,3
BC,'$30K - $50K',F,1,0,'High School Degree','Skilled Manual',Y,3
CA,'$30K - $50K',F,2,0,'High School Degree',Manual,Y,4
OR,'$10K - $30K',M,4,0,'Partial High School',Manual,N,0
WA,'$30K - $50K',M,0,0,'High School Degree',Manual,Y,2
OR,'$50K - $70K',F,4,0,'Bachelors Degree',Professional,Y,4
BC,'$30K - $50K',M,2,0,'High School Degree','Skilled Manual',N,1
CA,'$70K - $90K',F,4,0,'Graduate Degree',Management,Y,1
WA,'$30K - $50K',M,1,0,'High School Degree',Manual,N,1
CA,'$30K - $50K',M,1,1,'Partial College','Skilled Manual',Y,3
CA,'$30K - $50K',F,5,0,'Partial High School',Manual,Y,3
CA,'$30K - $50K',F,1,0,'Graduate Degree',Management,Y,1
WA,'$10K - $30K',M,0,0,'Partial High School','Skilled Manual',Y,1
WA,'$70K - $90K',M,2,2,'Bachelors Degree',Professional,Y,3
CA,'$70K - $90K',M,1,1,'High School Degree',Professional,Y,3
Guerrero,'$90K - $110K',M,1,1,'Bachelors Degree',Management,Y,4
CA,'$110K - $130K',F,2,0,'Partial College',Professional,Y,4
WA,'$50K - $70K',M,3,0,'Partial College',Manual,Y,1
OR,'$30K - $50K',F,4,0,'High School Degree',Manual,N,2
CA,'$110K - $130K',M,4,2,'Graduate Degree',Management,Y,4
BC,'$30K - $50K',F,3,0,'High School Degree','Skilled Manual',N,1
WA,'$30K - $50K',F,4,0,'High School Degree',Manual,Y,2
WA,'$50K - $70K',F,1,1,'Partial College',Management,Y,1
CA,'$10K - $30K',F,1,0,'Partial High School',Manual,Y,1
OR,'$10K - $30K',F,4,3,'Partial High School','Skilled Manual',Y,0
CA,'$70K - $90K',F,4,3,'Graduate Degree',Professional,Y,3
WA,'$10K - $30K',M,0,0,'Partial High School','Skilled Manual',Y,0
OR,'$30K - $50K',M,4,0,'High School Degree','Skilled Manual',N,3
CA,'$30K - $50K',M,2,0,'Partial High School','Skilled Manual',Y,2
BC,'$30K - $50K',F,1,1,'High School Degree','Skilled Manual',N,2
BC,'$50K - $70K',M,3,0,'Bachelors Degree',Professional,N,2
CA,'$50K - $70K',F,3,0,'Bachelors Degree',Professional,N,3
WA,'$10K - $30K',M,2,2,'Partial High School','Skilled Manual',Y,0
WA,'$10K - $30K',F,1,0,'Partial High School',Manual,Y,1
CA,'$90K - $110K',F,5,2,'Bachelors Degree',Management,Y,2
OR,'$30K - $50K',M,1,0,'High School Degree','Skilled Manual',N,2
OR,'$30K - $50K',M,2,0,'Bachelors Degree',Professional,N,4
WA,'$50K - $70K',M,5,2,'Bachelors Degree',Management,N,4
CA,'$70K - $90K',F,3,3,'Graduate Degree',Professional,N,2
BC,'$10K - $30K',F,2,2,'Partial High School',Manual,N,0
BC,'$30K - $50K',M,2,0,'Partial High School',Manual,Y,2
OR,'$30K - $50K',F,1,1,'High School Degree',Manual,N,4
WA,'$10K - $30K',M,4,0,'Partial High School','Skilled Manual',N,0
OR,'$30K - $50K',M,1,0,'High School Degree','Skilled Manual',Y,4
WA,'$50K - $70K',M,5,1,'High School Degree','Skilled Manual',Y,4
CA,'$130K - $150K',F,2,0,'Bachelors Degree',Professional,Y,3
CA,'$10K - $30K',F,2,0,'Partial High School',Manual,Y,1
WA,'$110K - $130K',F,5,5,'High School Degree',Management,Y,3
Zacatecas,'$30K - $50K',F,5,3,'High School Degree',Manual,Y,3
CA,'$50K - $70K',M,5,0,'Bachelors Degree',Management,N,2
BC,'$90K - $110K',M,3,0,'Graduate Degree',Professional,Y,3
WA,'$70K - $90K',M,4,2,'Bachelors Degree',Professional,Y,3
Mexico,'$70K - $90K',M,1,0,'Bachelors Degree',Management,N,1
CA,'$30K - $50K',F,2,0,'High School Degree','Skilled Manual',N,2
Zacatecas,'$50K - $70K',F,2,1,'High School Degree','Skilled Manual',Y,2
BC,'$110K - $130K',F,3,0,'Partial High School',Professional,Y,4
CA,'$150K +',M,2,0,'Bachelors Degree',Professional,N,4
OR,'$30K - $50K',F,5,4,'Partial College',Manual,N,3
OR,'$130K - $150K',F,1,1,'Graduate Degree',Professional,Y,3
CA,'$30K - $50K',M,3,3,'Partial College',Clerical,N,3
BC,'$10K - $30K',M,3,0,'Partial High School',Manual,Y,0
CA,'$30K - $50K',F,4,1,'High School Degree',Manual,Y,1
OR,'$10K - $30K',F,3,0,'Partial High School','Skilled Manual',N,0
WA,'$10K - $30K',M,4,4,'Bachelors Degree',Professional,Y,2
Yucatan,'$110K - $130K',M,1,0,'Bachelors Degree',Professional,N,1
WA,'$50K - $70K',M,3,2,'Bachelors Degree',Management,Y,2
WA,'$30K - $50K',F,5,5,'Partial College',Clerical,Y,4
OR,'$30K - $50K',F,5,0,'Partial High School',Manual,N,3
DF,'$70K - $90K',F,3,0,'Graduate Degree',Management,N,1
WA,'$50K - $70K',F,2,0,'High School Degree','Skilled Manual',N,2
BC,'$30K - $50K',F,2,1,'High School Degree',Manual,Y,2
CA,'$30K - $50K',M,3,0,'High School Degree','Skilled Manual',N,2
WA,'$10K - $30K',F,3,0,'Partial High School','Skilled Manual',Y,2
BC,'$30K - $50K',M,3,3,'Partial High School',Manual,Y,3
BC,'$50K - $70K',M,0,0,'Bachelors Degree',Management,Y,3
BC,'$130K - $150K',F,3,0,'Bachelors Degree',Professional,Y,4
Jalisco,'$90K - $110K',M,2,2,'High School Degree',Professional,Y,1
WA,'$30K - $50K',F,1,1,'High School Degree',Manual,Y,2
Sinaloa,'$10K - $30K',M,0,0,'Partial High School',Manual,Y,1
OR,'$30K - $50K',F,0,0,'Partial High School',Manual,N,2
WA,'$50K - $70K',M,2,0,'Bachelors Degree',Professional,N,3
WA,'$30K - $50K',M,1,0,'High School Degree','Skilled Manual',N,2
WA,'$30K - $50K',F,1,0,'High School Degree','Skilled Manual',Y,2
OR,'$30K - $50K',F,2,0,'High School Degree',Manual,N,3
WA,'$110K - $130K',F,2,2,'Partial High School',Professional,Y,2
CA,'$30K - $50K',F,1,0,'Partial College',Manual,N,1
WA,'$50K - $70K',M,3,1,'High School Degree','Skilled Manual',N,4
OR,'$50K - $70K',F,4,0,'Bachelors Degree',Management,N,3
Zacatecas,'$30K - $50K',F,1,1,'Partial College',Professional,Y,3
CA,'$10K - $30K',M,3,0,'Partial High School',Manual,N,0
WA,'$10K - $30K',M,1,0,'Partial High School','Skilled Manual',N,2
OR,'$90K - $110K',M,3,0,'Partial College',Professional,Y,3
BC,'$30K - $50K',F,1,0,'High School Degree',Manual,N,3
WA,'$50K - $70K',M,2,1,'Partial High School','Skilled Manual',Y,2
CA,'$110K - $130K',F,1,0,'Graduate Degree',Professional,Y,1
CA,'$70K - $90K',M,4,0,'Bachelors Degree',Management,N,4
CA,'$10K - $30K',M,0,0,'Partial High School',Manual,N,1
OR,'$30K - $50K',F,4,4,'High School Degree',Manual,Y,3
WA,'$50K - $70K',M,2,2,'Bachelors Degree',Professional,Y,2
BC,'$30K - $50K',M,0,0,'Partial College',Clerical,N,3
WA,'$10K - $30K',M,3,3,'Partial High School',Manual,Y,1
CA,'$50K - $70K',M,1,0,'Bachelors Degree',Professional,Y,2
CA,'$10K - $30K',M,4,4,'Partial High School','Skilled Manual',Y,1
CA,'$30K - $50K',M,4,1,'Bachelors Degree',Management,N,3
BC,'$30K - $50K',M,4,4,'High School Degree','Skilled Manual',N,3
CA,'$30K - $50K',M,2,0,'High School Degree','Skilled Manual',Y,2
CA,'$50K - $70K',M,4,1,'High School Degree','Skilled Manual',Y,1
BC,'$30K - $50K',M,4,0,'High School Degree',Manual,Y,3
WA,'$50K - $70K',M,5,0,'Bachelors Degree',Professional,Y,4
WA,'$70K - $90K',F,2,0,'Bachelors Degree',Professional,N,2
OR,'$130K - $150K',M,3,0,'High School Degree',Professional,N,3
BC,'$30K - $50K',F,3,1,'High School Degree',Manual,Y,3
Yucatan,'$70K - $90K',M,1,0,'High School Degree',Professional,N,3
BC,'$110K - $130K',F,3,2,'Bachelors Degree',Management,Y,2
WA,'$10K - $30K',M,3,0,'Partial High School',Manual,Y,1
CA,'$110K - $130K',M,5,5,'High School Degree',Professional,Y,3
WA,'$130K - $150K',M,3,3,'Graduate Degree',Management,Y,3
BC,'$30K - $50K',F,3,3,'Partial High School','Skilled Manual',Y,4
DF,'$50K - $70K',M,3,1,'Bachelors Degree',Professional,Y,3
WA,'$10K - $30K',M,4,0,'Partial High School',Manual,Y,0
Yucatan,'$50K - $70K',F,4,2,'Bachelors Degree',Professional,Y,2
WA,'$70K - $90K',F,2,0,'Graduate Degree',Management,N,1
WA,'$30K - $50K',F,2,0,'Partial High School','Skilled Manual',N,4
OR,'$30K - $50K',F,3,3,'High School Degree',Manual,N,3
CA,'$50K - $70K',M,2,0,'Bachelors Degree',Professional,N,3
BC,'$30K - $50K',F,3,2,'High School Degree',Manual,Y,3
CA,'$130K - $150K',M,1,0,'Partial College',Management,Y,1
CA,'$50K - $70K',F,2,0,'Bachelors Degree',Management,Y,1
CA,'$30K - $50K',M,2,0,'High School Degree',Manual,N,3
CA,'$10K - $30K',M,2,0,'Partial High School','Skilled Manual',N,2
OR,'$90K - $110K',F,3,2,'Partial High School',Professional,Y,3
WA,'$130K - $150K',M,5,5,'High School Degree',Management,Y,3
CA,'$10K - $30K',F,1,1,'Partial High School','Skilled Manual',Y,1
WA,'$30K - $50K',M,1,0,'High School Degree',Manual,Y,3
OR,'$30K - $50K',F,4,0,'High School Degree',Manual,Y,3
BC,'$50K - $70K',M,3,0,'Partial High School',Manual,N,4
CA,'$50K - $70K',F,4,0,'High School Degree',Manual,N,2
WA,'$30K - $50K',F,0,0,'High School Degree',Manual,Y,3
OR,'$10K - $30K',M,1,0,'Partial High School','Skilled Manual',N,1
OR,'$50K - $70K',M,0,0,'Bachelors Degree',Management,N,3
BC,'$70K - $90K',M,5,0,'Graduate Degree',Management,Y,3
CA,'$50K - $70K',F,5,0,'Partial College',Clerical,N,4
WA,'$30K - $50K',M,4,2,'High School Degree','Skilled Manual',N,2
CA,'$50K - $70K',F,2,0,'Bachelors Degree',Professional,N,1
CA,'$90K - $110K',F,2,0,'Partial College',Management,Y,3
BC,'$70K - $90K',M,3,1,'Bachelors Degree',Management,N,1
OR,'$30K - $50K',M,4,3,'High School Degree',Manual,Y,3
WA,'$90K - $110K',F,2,0,'Partial High School',Professional,N,3
WA,'$30K - $50K',M,2,0,'High School Degree','Skilled Manual',Y,2
CA,'$10K - $30K',F,4,1,'Partial High School','Skilled Manual',N,0
OR,'$10K - $30K',F,3,0,'Partial High School',Manual,N,0
BC,'$30K - $50K',F,2,0,'High School Degree',Manual,N,3
WA,'$30K - $50K',F,3,0,'Partial College',Professional,Y,1
Guerrero,'$50K - $70K',F,2,0,'Bachelors Degree',Professional,N,2
WA,'$110K - $130K',M,3,2,'High School Degree',Professional,N,1
WA,'$10K - $30K',M,4,0,'Partial High School','Skilled Manual',N,0
CA,'$30K - $50K',M,1,1,'High School Degree','Skilled Manual',Y,2
WA,'$70K - $90K',F,2,0,'High School Degree',Management,Y,2
CA,'$50K - $70K',M,5,0,'High School Degree','Skilled Manual',Y,2
WA,'$50K - $70K',M,3,0,'High School Degree','Skilled Manual',N,2
OR,'$70K - $90K',F,2,2,'Bachelors Degree',Management,N,2
WA,'$90K - $110K',M,4,0,'Bachelors Degree',Professional,N,3
WA,'$30K - $50K',F,3,3,'Partial College','Skilled Manual',Y,3
WA,'$30K - $50K',M,5,0,'Partial College',Professional,N,3
CA,'$90K - $110K',M,1,0,'Partial High School',Professional,Y,2
BC,'$30K - $50K',F,3,0,'High School Degree','Skilled Manual',Y,1
CA,'$10K - $30K',F,0,0,'Partial High School','Skilled Manual',Y,0
CA,'$90K - $110K',M,1,0,'High School Degree',Management,N,3
DF,'$30K - $50K',M,1,0,'High School Degree','Skilled Manual',N,1
WA,'$10K - $30K',F,0,0,'Partial High School','Skilled Manual',N,1
BC,'$30K - $50K',M,2,0,'High School Degree',Manual,N,1
CA,'$70K - $90K',M,0,0,'Bachelors Degree',Professional,N,3
CA,'$30K - $50K',M,1,0,'Partial College',Management,N,4
WA,'$50K - $70K',M,2,0,'Bachelors Degree',Professional,N,3
OR,'$10K - $30K',M,3,1,'Partial High School','Skilled Manual',Y,0
WA,'$150K +',F,4,3,'High School Degree',Professional,Y,3
CA,'$50K - $70K',M,0,0,'Bachelors Degree',Management,Y,3
CA,'$10K - $30K',F,0,0,'Partial High School',Manual,Y,0
Zacatecas,'$10K - $30K',F,3,0,'Partial High School','Skilled Manual',N,2
Zacatecas,'$50K - $70K',M,1,1,'High School Degree','Skilled Manual',Y,2
CA,'$30K - $50K',M,4,1,'Partial College','Skilled Manual',Y,3
OR,'$10K - $30K',M,3,2,'Partial High School',Manual,Y,1
BC,'$50K - $70K',F,4,0,'Bachelors Degree',Professional,Y,2
BC,'$50K - $70K',F,3,0,'Bachelors Degree',Professional,Y,3
BC,'$150K +',M,5,0,'Graduate Degree',Professional,N,3
Zacatecas,'$10K - $30K',M,3,0,'Partial High School','Skilled Manual',N,1
CA,'$30K - $50K',F,4,0,'Partial High School','Skilled Manual',Y,4
CA,'$50K - $70K',M,2,2,'Bachelors Degree',Professional,Y,3
DF,'$10K - $30K',F,2,2,'Partial High School',Manual,Y,1
DF,'$130K - $150K',M,1,0,'Partial High School',Management,Y,2
Mexico,'$50K - $70K',M,2,0,'Bachelors Degree',Management,Y,3
BC,'$50K - $70K',F,4,0,'Bachelors Degree',Professional,Y,3
OR,'$130K - $150K',F,5,0,'Partial High School',Professional,Y,4
WA,'$30K - $50K',F,1,0,'Partial High School',Manual,N,4
DF,'$30K - $50K',M,1,0,'High School Degree',Manual,N,3
BC,'$30K - $50K',F,5,0,'High School Degree',Manual,N,2
BC,'$150K +',F,2,0,'Partial High School',Professional,Y,2
CA,'$30K - $50K',M,3,3,'High School Degree','Skilled Manual',Y,2
CA,'$10K - $30K',M,5,0,'Partial High School','Skilled Manual',Y,0
CA,'$70K - $90K',M,1,0,'Graduate Degree',Professional,Y,2
Yucatan,'$10K - $30K',F,2,1,'Partial High School',Manual,Y,2
BC,'$10K - $30K',F,4,1,'Partial High School',Manual,Y,2
CA,'$50K - $70K',F,5,5,'Partial High School','Skilled Manual',N,3
CA,'$90K - $110K',M,0,0,'High School Degree',Management,Y,3
DF,'$30K - $50K',F,2,1,'High School Degree','Skilled Manual',Y,2
WA,'$130K - $150K',M,3,0,'Partial High School',Professional,Y,3
BC,'$30K - $50K',F,3,0,'High School Degree',Manual,Y,4
CA,'$30K - $50K',M,5,0,'High School Degree',Manual,N,3
Zacatecas,'$30K - $50K',M,2,0,'High School Degree','Skilled Manual',Y,3
WA,'$110K - $130K',M,1,0,'Bachelors Degree',Professional,N,1
OR,'$10K - $30K',F,5,2,'Partial High School',Manual,N,2
WA,'$70K - $90K',M,2,0,'Bachelors Degree',Professional,N,2
CA,'$10K - $30K',M,4,3,'Partial High School','Skilled Manual',Y,0
WA,'$10K - $30K',M,1,1,'Partial High School',Manual,Y,1
OR,'$130K - $150K',M,4,0,'Partial High School',Professional,Y,3
Zacatecas,'$50K - $70K',F,3,3,'Bachelors Degree',Professional,Y,2
CA,'$10K - $30K',F,4,0,'Partial High School',Manual,N,0
OR,'$10K - $30K',M,3,0,'Partial High School',Manual,Y,1
OR,'$10K - $30K',F,5,3,'Partial High School',Manual,Y,1
BC,'$50K - $70K',F,3,0,'Bachelors Degree',Professional,Y,3
BC,'$110K - $130K',F,3,3,'High School Degree',Professional,Y,3
WA,'$30K - $50K',M,1,0,'High School Degree',Manual,Y,3
CA,'$30K - $50K',F,4,4,'High School Degree','Skilled Manual',Y,3
BC,'$30K - $50K',F,1,0,'High School Degree',Manual,N,2
BC,'$90K - $110K',F,1,0,'Bachelors Degree',Professional,Y,3
BC,'$70K - $90K',M,3,2,'High School Degree',Professional,Y,2
BC,'$30K - $50K',M,4,0,'High School Degree','Skilled Manual',N,3
DF,'$30K - $50K',F,4,4,'Partial College',Professional,Y,3
BC,'$30K - $50K',M,2,2,'Partial High School','Skilled Manual',Y,2
CA,'$30K - $50K',F,1,0,'High School Degree','Skilled Manual',Y,3
WA,'$130K - $150K',M,2,0,'High School Degree',Professional,Y,2
WA,'$50K - $70K',M,2,0,'Bachelors Degree',Professional,N,3
OR,'$70K - $90K',F,4,4,'High School Degree',Management,Y,3
BC,'$10K - $30K',M,3,3,'Partial High School',Manual,Y,2
Zacatecas,'$70K - $90K',F,3,0,'Partial High School',Management,Y,3
OR,'$30K - $50K',M,3,0,'High School Degree',Manual,N,2
CA,'$50K - $70K',F,1,1,'High School Degree','Skilled Manual',Y,3
WA,'$10K - $30K',F,5,0,'Partial High School','Skilled Manual',Y,1
CA,'$70K - $90K',F,1,1,'Partial High School',Professional,N,2
OR,'$50K - $70K',F,4,1,'Bachelors Degree',Professional,Y,3
WA,'$30K - $50K',F,0,0,'High School Degree','Skilled Manual',N,1
CA,'$70K - $90K',F,0,0,'Partial High School',Professional,N,3
WA,'$30K - $50K',F,0,0,'High School Degree',Manual,Y,2
CA,'$10K - $30K',F,1,0,'Partial High School',Manual,Y,0
BC,'$70K - $90K',F,2,1,'High School Degree',Professional,Y,2
CA,'$110K - $130K',M,0,0,'High School Degree',Professional,Y,2
WA,'$10K - $30K',F,3,3,'Partial High School',Manual,Y,2
DF,'$30K - $50K',F,3,0,'High School Degree',Manual,Y,2
WA,'$30K - $50K',M,5,0,'High School Degree',Manual,N,4
CA,'$110K - $130K',F,3,2,'High School Degree',Professional,Y,3
BC,'$50K - $70K',F,5,0,'High School Degree',Manual,N,2
CA,'$10K - $30K',F,5,5,'Partial High School',Manual,Y,1
CA,'$70K - $90K',M,4,2,'Graduate Degree',Professional,Y,2
OR,'$10K - $30K',M,0,0,'Graduate Degree',Management,Y,1
Jalisco,'$30K - $50K',M,3,3,'Partial College',Professional,Y,3
BC,'$30K - $50K',F,0,0,'High School Degree',Manual,Y,2
WA,'$30K - $50K',F,2,2,'Bachelors Degree',Professional,Y,4
CA,'$30K - $50K',F,2,0,'High School Degree',Manual,N,1
CA,'$50K - $70K',M,4,0,'Bachelors Degree',Professional,N,2
BC,'$50K - $70K',M,4,0,'Bachelors Degree',Management,N,3
OR,'$50K - $70K',M,5,0,'Bachelors Degree',Professional,Y,2
CA,'$70K - $90K',M,2,1,'Bachelors Degree',Professional,Y,2
WA,'$110K - $130K',F,4,0,'High School Degree',Professional,Y,2
CA,'$30K - $50K',M,0,0,'Partial College','Skilled Manual',N,3
CA,'$30K - $50K',M,4,0,'High School Degree',Manual,Y,3
CA,'$30K - $50K',F,3,0,'Partial College',Clerical,Y,4
CA,'$30K - $50K',M,2,0,'High School Degree',Manual,N,3
WA,'$30K - $50K',M,3,0,'High School Degree','Skilled Manual',Y,3
OR,'$30K - $50K',F,3,0,'Partial College','Skilled Manual',N,4
WA,'$30K - $50K',F,4,4,'High School Degree',Manual,Y,3
WA,'$50K - $70K',F,2,0,'Bachelors Degree',Professional,N,3
WA,'$110K - $130K',F,4,3,'Bachelors Degree',Professional,Y,3
Jalisco,'$50K - $70K',F,4,4,'Bachelors Degree',Professional,N,2
Zacatecas,'$30K - $50K',M,0,0,'High School Degree',Manual,Y,2
WA,'$30K - $50K',M,1,1,'High School Degree','Skilled Manual',N,3
WA,'$30K - $50K',M,1,0,'Partial College',Management,Y,1
CA,'$50K - $70K',M,2,0,'Bachelors Degree',Professional,N,2
WA,'$70K - $90K',F,2,0,'Graduate Degree',Management,N,3
WA,'$10K - $30K',M,5,0,'Partial High School','Skilled Manual',Y,2
CA,'$50K - $70K',F,5,1,'Bachelors Degree',Professional,Y,2
CA,'$30K - $50K',F,0,0,'Partial College','Skilled Manual',Y,2
WA,'$130K - $150K',F,3,1,'Graduate Degree',Management,Y,4
BC,'$30K - $50K',M,3,0,'High School Degree',Manual,N,3
Yucatan,'$70K - $90K',F,2,0,'Graduate Degree',Professional,Y,2
BC,'$30K - $50K',M,2,2,'Partial College',Professional,Y,2
WA,'$30K - $50K',M,0,0,'Partial High School',Manual,Y,1
CA,'$150K +',F,4,4,'Graduate Degree',Professional,Y,3
OR,'$70K - $90K',M,4,2,'High School Degree',Management,N,3
WA,'$30K - $50K',M,4,4,'Partial High School',Manual,Y,3
Sinaloa,'$30K - $50K',F,2,0,'High School Degree',Manual,N,3
CA,'$90K - $110K',M,3,1,'Partial High School',Professional,N,2
OR,'$50K - $70K',M,3,3,'Bachelors Degree',Professional,N,4
Jalisco,'$10K - $30K',F,0,0,'Partial High School','Skilled Manual',N,0
BC,'$30K - $50K',M,3,0,'Partial College',Professional,N,3
CA,'$70K - $90K',M,4,0,'Bachelors Degree',Management,Y,3
CA,'$130K - $150K',M,1,0,'High School Degree',Professional,N,2
BC,'$10K - $30K',M,3,0,'Partial High School','Skilled Manual',N,1
BC,'$30K - $50K',F,3,0,'Partial High School','Skilled Manual',N,1
CA,'$30K - $50K',M,0,0,'Partial High School','Skilled Manual',N,3
WA,'$50K - $70K',F,0,0,'Bachelors Degree',Management,N,2
WA,'$30K - $50K',M,5,0,'High School Degree','Skilled Manual',N,4
Mexico,'$70K - $90K',F,3,0,'Partial High School',Management,Y,2
BC,'$30K - $50K',M,1,0,'High School Degree',Manual,Y,2
BC,'$30K - $50K',M,5,0,'Partial High School',Manual,Y,2
CA,'$30K - $50K',M,0,0,'Partial College','Skilled Manual',Y,1
OR,'$30K - $50K',M,4,4,'High School Degree',Manual,Y,3
WA,'$90K - $110K',F,3,0,'High School Degree',Professional,Y,1
CA,'$50K - $70K',F,4,0,'Partial College','Skilled Manual',N,4
WA,'$50K - $70K',M,2,2,'Bachelors Degree',Professional,Y,1
Guerrero,'$110K - $130K',F,4,3,'Partial High School',Professional,Y,3
OR,'$10K - $30K',M,0,0,'Partial High School','Skilled Manual',N,1
Guerrero,'$10K - $30K',M,4,0,'Partial High School','Skilled Manual',Y,1
CA,'$10K - $30K',M,2,0,'Partial High School','Skilled Manual',Y,2
CA,'$30K - $50K',M,3,2,'Partial High School',Manual,N,2
WA,'$30K - $50K',F,3,3,'High School Degree','Skilled Manual',Y,3
Mexico,'$30K - $50K',F,3,0,'Partial College',Clerical,N,3
Yucatan,'$90K - $110K',M,1,0,'Graduate Degree',Professional,Y,2
Zacatecas,'$50K - $70K',F,1,0,'Bachelors Degree',Professional,N,3
CA,'$30K - $50K',M,2,0,'High School Degree','Skilled Manual',Y,4
WA,'$70K - $90K',M,1,0,'Bachelors Degree',Professional,Y,2
WA,'$30K - $50K',F,1,1,'High School Degree',Manual,Y,2
WA,'$130K - $150K',M,2,0,'Bachelors Degree',Professional,Y,4
Mexico,'$50K - $70K',F,1,1,'Bachelors Degree',Management,N,2
BC,'$30K - $50K',M,4,2,'High School Degree','Skilled Manual',N,2
BC,'$130K - $150K',M,1,0,'Bachelors Degree',Professional,Y,2
WA,'$50K - $70K',F,0,0,'Bachelors Degree',Professional,Y,1
CA,'$110K - $130K',M,1,1,'Partial High School',Management,Y,1
OR,'$110K - $130K',M,4,0,'High School Degree',Professional,Y,2
BC,'$70K - $90K',F,0,0,'High School Degree',Professional,N,4
BC,'$110K - $130K',F,4,1,'Partial College',Professional,Y,4
WA,'$50K - $70K',M,3,3,'Bachelors Degree',Professional,Y,3
Zacatecas,'$50K - $70K',F,0,0,'Bachelors Degree',Professional,Y,2
BC,'$10K - $30K',M,1,0,'Partial High School','Skilled Manual',Y,2
CA,'$10K - $30K',M,0,0,'Partial High School',Manual,Y,1
DF,'$70K - $90K',M,2,0,'Bachelors Degree',Management,Y,2
BC,'$10K - $30K',M,1,0,'Partial High School','Skilled Manual',N,2
